Wall time,Step,Value
1616730942.843855,0,0.3499000072479248
1616730976.5024903,1,0.2815000116825104
1616731009.9524982,2,0.23980000615119934
1616731043.6343148,3,0.21719999611377716
1616731077.3861148,4,0.20499999821186066
1616731110.9204361,5,0.20630000531673431
1616731144.5705802,6,0.21490000188350677
1616731178.315543,7,0.22310000658035278
1616731211.7941809,8,0.22990000247955322
1616731245.4661422,9,0.24240000545978546
1616731279.2117045,10,0.2549000084400177
1616731312.8049414,11,0.2632000148296356
1616731346.3786047,12,0.27160000801086426
1616731379.9188492,13,0.2784000039100647
1616731413.6744916,14,0.28209999203681946
1616731447.1550283,15,0.2897000014781952
1616731480.8016012,16,0.29330000281333923
1616731514.5801816,17,0.2957000136375427
1616731548.2921145,18,0.2939999997615814
1616731581.6001134,19,0.2971000075340271
1616731615.1492922,20,0.2987000048160553
1616731648.7014089,21,0.301800012588501
1616731682.3302267,22,0.30660000443458557
1616731715.731326,23,0.31150001287460327
1616731749.389359,24,0.3140999972820282
1616731783.1248953,25,0.3140999972820282
1616731816.5284867,26,0.32010000944137573
1616731850.0695956,27,0.32679998874664307
1616731883.5904677,28,0.32850000262260437
1616731917.314808,29,0.33070001006126404
1616731950.613274,30,0.3310000002384186
1616731984.1612267,31,0.33090001344680786
1616732017.8356357,32,0.3328999876976013
1616732051.359444,33,0.3352999985218048
1616732084.9091556,34,0.3359000086784363
1616732118.4369566,35,0.3382999897003174
1616732152.2108457,36,0.3407999873161316
1616732185.5562568,37,0.3450999855995178
1616732219.0723782,38,0.34470000863075256
1616732252.7519066,39,0.3447999954223633
1616732286.2591069,40,0.34709998965263367
1616732319.88674,41,0.34950000047683716
1616732353.7122245,42,0.3544999957084656
1616732387.5601168,43,0.3546999990940094
1616732421.2308965,44,0.35510000586509705
1616732454.762253,45,0.358599990606308
1616732488.2534947,46,0.35850000381469727
1616732522.0233,47,0.35910001397132874
1616732555.3992827,48,0.3580000102519989
1616732588.8826127,49,0.3605000078678131
