Wall time,Step,Value
1616730910.019217,0,1.875780701637268
1616730943.6059866,1,1.8068888187408447
1616730977.2441912,2,1.6233892440795898
1616731010.7111003,3,1.404513955116272
1616731044.443555,4,1.0424450635910034
1616731078.153675,5,0.6426200270652771
1616731111.6688135,6,0.5153803825378418
1616731145.307633,7,0.4959116280078888
1616731179.054602,8,0.46423232555389404
1616731212.5298305,9,0.435181587934494
1616731246.2176726,10,0.43919768929481506
1616731279.9553392,11,0.4443359971046448
1616731313.5198069,12,0.4565865993499756
1616731347.0828035,13,0.42657697200775146
1616731380.6392922,14,0.4192837178707123
1616731414.394523,15,0.4207388758659363
1616731447.8723588,16,0.4209161400794983
1616731481.5069253,17,0.4386187195777893
1616731515.3043811,18,0.4139222800731659
1616731549.0327854,19,0.41290098428726196
1616731582.335105,20,0.4057619869709015
1616731615.8551285,21,0.40559080243110657
1616731649.4412916,22,0.41995081305503845
1616731683.0635774,23,0.3963627815246582
1616731716.4426274,24,0.42202064394950867
1616731750.1406908,25,0.4026441276073456
1616731783.8427975,26,0.4229578673839569
1616731817.2583258,27,0.40305933356285095
1616731850.7771714,28,0.4008120894432068
1616731884.3253417,29,0.4151684045791626
1616731918.038311,30,0.4193033277988434
1616731951.3574767,31,0.4023321270942688
1616731984.861186,32,0.39165425300598145
1616732018.568867,33,0.41620978713035583
1616732052.0960033,34,0.40206360816955566
1616732085.6147807,35,0.4069274663925171
1616732119.1729398,36,0.3985108733177185
1616732152.9378076,37,0.3877655863761902
1616732186.301042,38,0.3882480263710022
1616732219.7746274,39,0.38993045687675476
1616732253.4789138,40,0.3941432237625122
1616732286.980662,41,0.3976837694644928
1616732320.5944865,42,0.39189526438713074
1616732354.4491518,43,0.3992660939693451
1616732388.2948084,44,0.3953564763069153
1616732421.9629886,45,0.382016122341156
1616732455.46929,46,0.3895769417285919
1616732488.9913044,47,0.38869041204452515
1616732522.759178,48,0.4050273299217224
1616732556.1248178,49,0.4011905789375305
