Wall time,Step,Value
1616730910.0189424,0,2.114794969558716
1616730943.605936,1,2.184290885925293
1616730977.2441432,2,2.0182132720947266
1616731010.7110512,3,2.0235543251037598
1616731044.4435062,4,1.9666516780853271
1616731078.1536262,5,2.0648603439331055
1616731111.6687655,6,1.96797776222229
1616731145.3075843,7,1.9024176597595215
1616731179.0545535,8,2.014965534210205
1616731212.5297818,9,1.8208119869232178
1616731246.2176237,10,1.8033196926116943
1616731279.9552903,11,1.6648861169815063
1616731313.519758,12,1.8777806758880615
1616731347.0827541,13,1.809543490409851
1616731380.6392431,14,1.8266756534576416
1616731414.3944738,15,1.7539148330688477
1616731447.8723097,16,1.6713697910308838
1616731481.5068765,17,1.760673999786377
1616731515.3043318,18,1.8446574211120605
1616731549.032737,19,1.7188838720321655
1616731582.3350558,20,1.7327277660369873
1616731615.8550801,21,1.6894904375076294
1616731649.441243,22,1.8331832885742188
1616731683.0635273,23,1.6792399883270264
1616731716.4425778,24,1.7400035858154297
1616731750.1406417,25,1.5997850894927979
1616731783.8427477,26,1.7314828634262085
1616731817.2582767,27,1.6895276308059692
1616731850.7771215,28,1.7030681371688843
1616731884.325292,29,1.664222240447998
1616731918.0382621,30,1.7055206298828125
1616731951.3574266,31,1.611140489578247
1616731984.861137,32,1.67306649684906
1616732018.5688176,33,1.695017695426941
1616732052.0959535,34,1.7282823324203491
1616732085.6147316,35,1.6840611696243286
1616732119.1728902,36,1.7414065599441528
1616732152.9377577,37,1.6332577466964722
1616732186.300993,38,1.6872140169143677
1616732219.7745774,39,1.6838631629943848
1616732253.4788628,40,1.719398856163025
1616732286.9806101,41,1.813628077507019
1616732320.5944371,42,1.7365717887878418
1616732354.4491017,43,1.6926971673965454
1616732388.2947598,44,1.7544848918914795
1616732421.96294,45,1.77936589717865
1616732455.4692414,46,1.6801060438156128
1616732488.9912562,47,1.7220847606658936
1616732522.7591286,48,1.7319525480270386
1616732556.1247697,49,1.662766695022583
