Wall time,Step,Value
1616730910.018629,0,3.9905755519866943
1616730943.6058571,1,3.9911797046661377
1616730977.244072,2,3.6416025161743164
1616731010.710973,3,3.4280683994293213
1616731044.4434254,4,3.00909686088562
1616731078.1535466,5,2.7074804306030273
1616731111.6686938,6,2.483358144760132
1616731145.3075082,7,2.398329257965088
1616731179.0544834,8,2.4791977405548096
1616731212.5297139,9,2.255993604660034
1616731246.217545,10,2.2425174713134766
1616731279.9552152,11,2.109222173690796
1616731313.519682,12,2.334367275238037
1616731347.0826864,13,2.2361204624176025
1616731380.6391768,14,2.2459592819213867
1616731414.3944077,15,2.1746537685394287
1616731447.8722417,16,2.0922858715057373
1616731481.5068042,17,2.1992926597595215
1616731515.304252,18,2.258579730987549
1616731549.0326595,19,2.1317849159240723
1616731582.3349855,20,2.1384897232055664
1616731615.8550036,21,2.095081090927124
1616731649.4411762,22,2.25313401222229
1616731683.0634573,23,2.0756027698516846
1616731716.4425106,24,2.1620242595672607
1616731750.1405752,25,2.002429246902466
1616731783.842666,26,2.1544406414031982
1616731817.2582023,27,2.0925869941711426
1616731850.777036,28,2.1038801670074463
1616731884.3251984,29,2.07939076423645
1616731918.0381854,30,2.124824047088623
1616731951.3573463,31,2.013472557067871
1616731984.8610513,32,2.064720869064331
1616732018.568749,33,2.111227512359619
1616732052.0958848,34,2.1303458213806152
1616732085.6146543,35,2.0909886360168457
1616732119.1728084,36,2.1399173736572266
1616732152.9376776,37,2.0210232734680176
1616732186.300924,38,2.0754621028900146
1616732219.7745082,39,2.073793649673462
1616732253.4787831,40,2.113542079925537
1616732286.9805374,41,2.2113118171691895
1616732320.5943644,42,2.128467082977295
1616732354.4489832,43,2.091963291168213
1616732388.2946877,44,2.14984130859375
1616732421.962873,45,2.161381959915161
1616732455.4691727,46,2.0696828365325928
1616732488.9911897,47,2.1107752323150635
1616732522.759056,48,2.136979818344116
1616732556.1246908,49,2.0639572143554688
